listing_id,artist,title,label,catalog_number,year,format,format_details,media_condition,sleeve_condition,price,status,ships_from,comments
3747968971,100 Proof Aged In Soul,Somebody's Been Sleeping In My Bed,Hot Wax (4),HA 704,1970,"LP, Album",,Near Mint (NM or M-),Good Plus (G+),GBP 7.38,For Sale,United Kingdom,A GREAT VINYL. UPGRADE COPY. THE SLEEVE HAS A TOP EDGE SPLIT AND SOME SPINE DAMAGE.
3747968953,Original Cast*,A Chorus Line,CBS,S 70149,1975,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 2.49,For Sale,United Kingdom,VG++ SLEEVE. Some paper missing of the edge of one of labels.
3747968974,101 Strings,Hawaiian Paradise,Avon (9),ADL 507 ,0,"2xLP, Comp",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.25,For Sale,United Kingdom,
3747968956,Original Broadway Cast*,Big River: The Adventures Of Huckleberry Finn,MCA Records,MCA-6147,1985,"LP, Album, Pin",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 8.41,For Sale,United Kingdom,NM INNER. SUPERB COPY ! UNCUT IMPORT.
3747968962,"Original Cast*, Albert W. Selden And Hal James Present Richard Kiley, Irving Jacobson, Ray Middleton, Robert Rounseville, Joan Diener",Man Of La Mancha,MCA Records,MCA-2018,1973,"LP, Album, RE, Glo",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 12.28,For Sale,United Kingdom,EXACT MATCH TO DISCOGS PHOTOS. NO CUTS OR HOLE IN THIS COLL IMPORT SLEEVE. WE ARE THE ONLY UK SELLERS OF THIS ONE PRESENTLY.
3747968968,100 Proof Aged In Soul,Somebody's Been Sleeping,Hot Wax (4),HS 7004,1969,"7"", Single, Styrene, Ter",,Very Good (VG),Generic,GBP 2.19,For Sale,United Kingdom,VISUALLY VG  BUT PLAYS GREAT - CLEAN LABELS - PLAIN SLEEVE.  MATRIX TIII
3747968959,"""Godspell"" Cast, Chorus And Accompaniment",Godspell,Music For Pleasure,MFP 5271,1972,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,
3747968977,10cc,100cc  Greatest Hits Of 10cc,UK Records,UKAL 1012,1975,"LP, Comp",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.9,For Sale,United Kingdom,A SLIGHT WARP BUT PLAYS THROUGH FINE. CHEAP !
3747968965,Original Cast*,Laugh-In '69 - Original Cast Album,Reprise Records,RSLP 6335,1969,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.99,For Sale,United Kingdom,
3747969004,49ers,Touch Me,4th & Broadway,BRW 157,1989,"7"", Single, Pap",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.13,For Sale,United Kingdom,PLAYS EXCELLENT. 
3747968983,10cc,How Dare You!,Mercury,SRM-1-1061,1976,"LP, Album, Ter",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 9.56,For Sale,United Kingdom,NM INNER. CORNER CUT IMPORT.
3747969034,ABBA,Does Your Mother Know,Epic,S EPC 7316,1979,"7"", Single",,Near Mint (NM or M-),Generic,GBP 1.9,For Sale,United Kingdom,BOXED &amp; UNPLAYED FROM NEW. CLEAN LABELS. CLEAN &amp; CRISP BIRTH / COMPANY SLEEVE.
3747969001,"3 Mustaphas 3 Present L'Orchestre ""Bam"" De Grand Mustapha International And Party",Local Music,Globe Style,FEZ 002,1986,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 7.38,For Sale,United Kingdom,LOOKS UNPLAYED ! BEST ON DISCOGS.
3747969049,ABBA,"Knowing Me, Knowing You",Epic,S EPC 4955,1977,"7"", Single, Sol",,Near Mint (NM or M-),Generic,GBP 2.37,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - EX+ COMPANY SLEEVE - SUPERB !
3747969007,5000 Volts,Doctor Kiss - Kiss,Philips,6006 533,1976,"7"", Single, Blu",,Near Mint (NM or M-),Generic,GBP 0.85,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747968992,10 c.c.*,The Wall Street Shuffle,UK Records,UK 69,1974,"7"", Single",,Near Mint (NM or M-),Generic,GBP 2.27,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - PLAIN SLEEVE - SUPERB ! All text on left of label inline.
3747968995,3 Mustaphas 3,Heart Of Uncle,Globe Style,ORB 043,1989,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 7.38,For Sale,United Kingdom,NM- VINYL. ONLY UK SELLERS.
3747969037,ABBA,Does Your Mother Know,Epic,S EPC 7316,1979,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.53,For Sale,United Kingdom,SIDE ONE IS NM. SIDE TWO IS VG+ + CLEAN LABESL. COMPANY SLEEVE.
3747969064,ABBA,The Singles (The First Ten Years),Epic,ABBA 10,1982,"2xLP, Comp, Blu",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 9.12,For Sale,United Kingdom,NM UNPLIT INNERS. RED HYPE STICKER.
3747969016,"A Homeboy, A Hippie & A Funki Dredd",Total Confusion '98,Thumpin Vinyl,BASH 25 P1,1998,"12"", Par",,Very Good Plus (VG+),Generic,GBP 9.56,For Sale,United Kingdom,NM- VINYL. PLAIN BLACK SLEEVE.
3747969025,a-ha,Touchy!,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records","W7749, W 7749 V, 927749-7",1988,"7"", Single",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 2.64,For Sale,United Kingdom,LOOKS UNPLAYED ! WRITNG ON THE REAR SLEEVE.
3747969058,ABBA,Take A Chance On Me,Epic,S EPC 5950,1978,"7"", USA",,Very Good (VG),Generic,GBP 0.75,For Sale,United Kingdom,THE VINYL HAS SOME MISTING. ONE TO OWN AND ADMIRE RATHER THAN TO PLAY OUT.
3747968980,10 CC*,Dreadlock Holiday,Mercury,6008 035,1978,"7"", Single, Blu",,Near Mint (NM or M-),Generic,GBP 2.1,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747969010,53rd & 3rd Featuring The Sound Of Shag (3),Chick-A-Boom (Don't Ya Jes Love It),UK Records,2012 002,1975,"7"", Single, Sol",,Near Mint (NM or M-),No Cover,GBP 1.6,For Sale,United Kingdom,MINT UPGRADE COPY.
3747969022,a-ha,The Sun Always Shines On T.V.,"Warner Bros. Records, Warner Bros. Records","W8846, 928846-7",1985,"7"", Single, Sil",,Very Good Plus (VG+),Generic,GBP 1.25,For Sale,United Kingdom,PLAYS PERFECT !  RARE JUKEBOX ISSUE.
3747968989,10C.C.*,Rubber Bullets,UK Records,UK 36,1973,"7"", Single",,Near Mint (NM or M-),Generic,GBP 2.42,For Sale,United Kingdom,EXACT MATCH TO DISCOGS LABEL PHOTOS. GLOSSY VINYL. CLEAN LABELS. EX+ COMPANY SLEEVE.
3747969019,a-ha,Manhattan Skyline,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records","W8405, 928 405-7, W 8405",1987,"7"", Single, Pap",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 2.98,For Sale,United Kingdom,CENTRE HOLE CUT FOR JUKEBOX USE.
3747968998,3 Mustaphas 3,Soup Of The Century,Globe Style,FEZLP 004,1990,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.73,For Sale,United Kingdom,
3747969052,ABBA,Mamma Mia,Epic,S EPC 3790,1975,"7"", Single, Sol",,Very Good Plus (VG+),Generic,GBP 2.1,For Sale,United Kingdom,NM- VINYL. CLEAN LABELS - COMPANY SLEEVE.
3747969046,ABBA,"Knowing Me, Knowing You",Epic,S EPC 4955,1977,"7"", Single, Sol",,Near Mint (NM or M-),Generic,GBP 2.37,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - EX+ COMPANY SLEEVE - SUPERB !
3747969031,ABBA,Chiquitita,Epic,S EPC 7030,1979,"7"", Single, Sol",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - COMPANY SLEEVE
3747968986,10cc,Look Hear?,Mercury,9102 505,1980,"LP, Album, Pos",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 6.35,For Sale,United Kingdom,NM INNER. SUPERB COPY ! LIKE NEW ! NO POSTER.
3747969028,ABBA,Angeleyes / Voulez-Vous,"Epic, Epic","S EPC 7499, EPC 7499",1979,"7"", Single, Lar",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 9.56,For Sale,United Kingdom,SOUGHT AFTER ISSUE IN A PERFECT SLEEVE.
3747969040,ABBA,"Gimme, Gimme, Gimme (A Man After Midnight)",Epic,S EPC 7914,1979,"7"", Single, Ora",,Near Mint (NM or M-),Generic,GBP 7.99,For Sale,United Kingdom,RARE ISSUE WITH NUMBER ETCHED IN THE LABEL CENTRE. CLEAN LABELS. EX+ COMPANY SLEEVE.
3747969061,ABBA,The Album,Polar,POLS 282,1977,"LP, Album",,Very Good Plus (VG+),Very Good (VG),GBP 1.9,For Sale,United Kingdom,MISSING ITS INNER SLEEVE. 
3747969043,ABBA,Head Over Heels,"Epic, Epic","EPC A2037, EPC A 2037",1982,"7"", Single, Inj",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.68,For Sale,United Kingdom,
3747969055,ABBA,Super Trouper,"Epic, Epic","EPC 10022, S EPC 10022",1980,"LP, Album, Dut",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 6.02,For Sale,United Kingdom,VG++ SLEEVE. VG INNER (BOTTOM EDGE SPLIT (4CM)
3747969109,Adam Faith,Mix Me A Person,Parlophone,45-R 4930,1962,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,CLEAN LABELS - COMPANY SLEEVE. 
3747969076,Mr. Acker Bilk* With The Leon Young String Chorale,A Taste Of Honey,Columbia,45-DB4949,1963,"7""",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,EXACT MATCH TO DISCOGS LABELS. VG++ VINYL. CLEAN LABELS. COMPANY SLEEVE.
3747969073,"Acker Bilk, His Clarinet & Strings*",Aria,Pye Records,7N 45607,1976,"7"", Single, Sol",,Near Mint (NM or M-),Generic,GBP 1.23,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747969106,Adam Faith,Adam,Parlophone,PMC 1128,1960,"LP, Album, Mono",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 12.03,For Sale,United Kingdom,VG++ VINYL (VERY LIGHT WEAR ONLY). THE SLEEVE IS UNCREASED.  SOME PEN TICKS NEXT TO THE TRACKLISTING ON THE REAR SLEEVE. TBE START OF A BOTTOM/TOP EDGE SPLIT NEXT TO THE OPEN EDGE.OTHERWISE GREAT.  ICONIC GOLD BEATLESQUE  EARLY PARLOPHONE LABELS.
3747969136,Adam Faith With The Roulettes,So Long Baby,Parlophone,R 5061,1963,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.53,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - COMPANY SLEEVE
3747969097,Adam And The Ants,Kings Of The Wild Frontier,"CBS, CBS","S CBS 8877, CBS 8877",1980,"7"", Single",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 2.92,For Sale,United Kingdom,Aston Clinton from the ⋀ in the runouts
3747969148,Adult Net,Where Were You,"Fontana, Fontana","BRX 212, 874 255-1",1989,"12"", Single",,Near Mint (NM or M-),Generic,GBP 1.25,For Sale,United Kingdom,RARE FONTANA COMPANY PROMO SLEEVE
3747969145,Adult Net,Take Me,"Fontana, Fontana","BRX 112, 872 647-1",1989,"12"", Single",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.12,For Sale,United Kingdom,UNPLAYED EX SHOP STOCK
3747969118,Adam Faith,Walkin' Tall,Parlophone,R 5039,1963,"7""",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,CLEAN LABELS - COMPANY SLEEVE. 
3747969115,Adam Faith,The Time Has Come,Parlophone,45-R 4837,1961,"7"", Single",,Near Mint (NM or M-),Generic,GBP 1.25,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747969133,Adam Faith With John Barry And His Orchestra*,As You Like It,Parlophone,45-R 4896,1962,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.49,For Sale,United Kingdom,CLEAN LABELS - COMPANY SLEEVE. 
3747969139,Adamo,Mes Mains Sur Tes Hanches,La Voix De Son Maître,EGF 827,1965,"7"", EP",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.9,For Sale,United Kingdom,SAME AS DISCOGS SLEEVE WITH A STRAIGHT EDGE OPENING.
3747969127,Adam Faith,Who Am I ? / This Is It,Parlophone,45-R 4735,1961,"7"", Single",,Near Mint (NM or M-),Generic,GBP 0.63,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - PLAIN SLEEVE - SUPERB COPY !
3747969085,Mr. Acker Bilk* With The Leon Young String Chorale,Stranger On The Shore,Columbia,45-DB 4750,1961,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.53,For Sale,United Kingdom,VG++ VERY LIGHT WEAR ONLY -  CLEAN LABELS - COMPANY SLEEVE.
3747969154,Al Hibbler,Here's Hibbler! Part 1,Brunswick,OE 9331,1957,"7"", EP",,Very Good Plus (VG+),Generic,GBP 6.35,For Sale,United Kingdom,RARE - ONLY COPY ON DISCOGS.  CLEAN LABELS &amp; PLAIN SLEEVE. VG++ VINYL. 
3747969091,Adam & The Ants*,Cartrouble,Do It Records,DUN 10,1980,"7"", Wid",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.9,For Sale,United Kingdom,EXACT MATCH TO DISCOGS LABEL PHOTOS.  KIGHT WEAR ONLY - PLAYS EXCELLENT. FRONT SLEEVE NM REAR VG++.
3747969142,Adrian Gurvitz,Your Dream,RAK,RAK 343,1982,"7"", Single",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 0.82,For Sale,United Kingdom,
3747969160,Al Jolson,Oh! You Beautiful Doll,MCA Records,MUP 362,0,"LP, Album, Mono, RE",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.25,For Sale,United Kingdom,VG++ SLEEVE. BEST COPY ON DISCOGS.
3747969067,ABC,When Smokey Sings,Mercury,888 604-7,1987,"7"", Single, Spe",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.96,For Sale,United Kingdom,
3747969121,Adam Faith,What Do You Want?,Parlophone,45-R 4591,1960,"7"", Single, 4 p",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,VG++ VERY LIGHT WEAR ONLY -  CLEAN LABELS - COMPANY SLEEVE.
3747969163,Al Jolson,Sitting On Top Of The World,Vocalion (3),VLP3,1975,"LP, Comp, Mono",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,A LOVELY EXAMPLE.
3747969151,Al Goodman And His Orchestra Present Rodgers And Hammerstein*,South Pacific,Gala Records (2),45XP1001,0,"7"", EP, Bla",,Near Mint (NM or M-),Very Good (VG),GBP 1.6,For Sale,United Kingdom,
3747969112,Adam Faith,My Last Wish,Parlophone,45-R 4807,1961,"7""",,Very Good Plus (VG+),Generic,GBP 0.53,For Sale,United Kingdom,VG++ VERY LIGHT WEAR ONLY - CLEAN LABELS - COMPANY SLEEVE
3747969100,Adam And The Ants,Prince Charming,CBS,CBS 85268,0,"LP, Album, RP, Gat",,Very Good (VG),Very Good Plus (VG+),GBP 4.45,For Sale,United Kingdom,EX+ UNSPLIT INNER. VISUALLY VG BUT PLAYS LOUD &amp; CLEAR !
3747969157,Al Hudson & The Partners,You Can Do It,MCA Records,MCA 511,1979,"7"", Single",,Near Mint (NM or M-),Generic,GBP 2.67,For Sale,United Kingdom,LOOKS UNPLAYED ! CLEAN LABELS - COMPANY SLEEVE.  SUPERB !
3747969124,Adam Faith,What Do You Want?,Parlophone,45-R 4591,1960,"7"", Single, 4 p",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - PLAIN SLEEVE.
3747969082,Mr. Acker Bilk* With The Leon Young String Chorale,Stranger On The Shore,Columbia,DO-4262,1961,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,VG++ VERY LIGHT WEAR ONLY -  CLEAN LABELS - HOUSED IN A CLEAR COLUMBIA BAG.
3747969166,Al Jolson,The Al Jolson Collection (20 Golden Greats / 20 More Golden Greats),"Ronco, Ronco","RON LP 5A, RON LP 5B",1983,"2xLP, Comp, Mono",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.15,For Sale,United Kingdom,LOOK BARELY PLAYED -  IF AT ALL - SUPERB ! BOTH HAVE FREE ALBUM COVER STICKER.
3747969088,Mr. Acker Bilk* With The Leon Young String Chorale,Stranger On The Shore,Columbia,45-DB 4750,1961,"7"", Single",,Near Mint (NM or M-),Generic,GBP 0.63,For Sale,United Kingdom,WOL - COMPANY SLEEVE
3747969070,Acker Bilk,The Best Of Acker Bilk Volume 2 ,Golden Hour,GH 667,1977,"LP, Comp",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,
3747969094,Adam And The Ants,Goody Two Shoes,"CBS, CBS","A2367, CBS A2367",1982,"7"", Single, Pos",,Near Mint (NM or M-),Good (G),GBP 2.19,For Sale,United Kingdom,CBS black inner is NM. Poster is ripped &amp; torn. 
3747969103,Adam Beyer,Remainings III,Drumcode,DC20,2000,"2x12""",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 11.43,For Sale,United Kingdom,STILL IN OPENED SHRINK - LOOKS BARELY PLAYED - SUPERB ! best uk sellers copy !
3747969079,Mr. Acker Bilk* With The Leon Young String Chorale,Stranger On The Shore,Columbia,45-DB 4750,1961,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.53,For Sale,United Kingdom,CLEAN LABELS - COMPANY SLEEVE. 
3747969130,Adam Faith,Wonderin' / Easy Going Me,Parlophone,45-R 4766,1961,"7"", Single",,Near Mint (NM or M-),Generic,GBP 0.53,For Sale,United Kingdom,FULL GLOSS VINYL LOOKS BARELY PLAYED. SUPERB COPY ! CLEAN  LABELS - COMPANY SLEEVE.
3747969184,Al Martino,The Next Hundred Years,Capitol Records,E-ST 11741,0,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,
3747969181,Al Martino,Spanish Eyes,Capitol Records,CL 15430,1966,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.99,For Sale,United Kingdom,ONE LIGHT MARK ONLY. CLEAN LABELS - ORIG COMPANY SLEEVE.
3747969235,"Borodin* - Pierre Monteux Conducts The N.D.R. Symphony Orchester, Hamburg*",Polovtsian Dances,"Concert Hall, Concert Hall, Concert Hall","M-505, SMS 505, SMS-505",1966,"7""",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.46,For Sale,United Kingdom,
3747969208,Alan Moorhouse,"Beatles, Bach, Bacharach Go Bossa",Music For Pleasure,MFP 5206,1971,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.77,For Sale,United Kingdom,VG++ VINYL. 
3747969220,Alan Price Set*,The House That Jack Built,Decca,F.12641,1967,"7"", Single",,Near Mint (NM or M-),Generic,GBP 2.06,For Sale,United Kingdom,FROM A FANTASTIC COLLECTION OF UNPLAYED/BARELY PLAYED 60'S &amp; 70'S SINGLES WERE ARE LISTING THIS AUTUMN (2024). CLEAN LABELS. EX+ COMPANY/BIRTH SLEEVE. 
3747969190,Al Martino,To The Door Of The Sun,Capitol Records,E-ST 11366,1975,"LP, Comp",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.9,For Sale,United Kingdom,
3747969250,Alexander O'Neal,Hearsay,Tabu Records,450936 1,1987,"LP, Album",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.9,For Sale,United Kingdom,VG INNER. VG++ SLEEVE.
3747969214,Alan Price,The Whales Of August (Original Motion Picture Soundtrack),Varèse Sarabande,STV 81347,1987,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 12.28,For Sale,United Kingdom,STILL IN OPENED SHRINK - LOOKS UNPLAYED - SUPERB ! NO CUTS OR HOLES ON THIS IMPORT.
3747969172,"Al Kent (2), Al Kent Orchestra",Finders Keepers / Ooh! Pretty Lady,Ric-Tic Records,RT 133,1967,"7"", Single, Mono, Styrene, Pit",,Very Good (VG),Generic,GBP 2.06,For Sale,United Kingdom,ONE MARK ONLY THAT CAUSES A COUPLE OF AUDIBLE CLICKS. CLEAN LABELS. PLAIN SLEEVE. NO DRILL HOLE.
3747969229,The Albion Dance Band,The Prospect Before Us,"Harvest, Harvest","SHSP 4059, OC 062-06 332",1977,"LP, Album",,Very Good Plus (VG+),Very Good (VG),GBP 2.98,For Sale,United Kingdom,ONE MARK ONLY THAT DOES NOT AFFECT THE PLAY.
3747969265,Alfred Drake & The Kismet Original Broadway Cast,Kismet,Columbia Masterworks,S 32605,1973,"LP, Mono, RE",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.77,For Sale,United Kingdom,VG++ VINYL. 
3747969226,The Albion Dance Band,Hopping Down In Kent ,Harvest,HAR 5113,1976,"7"", Single",,Near Mint (NM or M-),Generic,GBP 0.63,For Sale,United Kingdom,DISCOLOURED LABELS - PLAIN SLEEVE
3747969169,Al Kent (2),Where Do I Go From Here / You've Got To Pay The Price,Ric-Tic Records,RT 127,1967,"7"", Styrene, Pit",,Very Good Plus (VG+),Generic,GBP 3.49,For Sale,United Kingdom,VISUAL GRADING. SIDE ONE IS NM. SIDE TWO IS VG+. MATRIX MATCHED TO DISCOGS. 
3747969232,Aled Jones,Walking In The Air,His Master's Voice,ALED 1,1985,"7"", Single",,Very Good Plus (VG+),Very Good (VG),GBP 0.53,For Sale,United Kingdom,VG++ VINYL. STICKER DAMAGED SLEEVE.
3747969268,"Alfred Drake, Doretta Morrow, Richard Oneto, Richard Kiley",Kismet - Vol. 2,Philips,BBE 12248,0,"7"", EP, Mono",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.23,For Sale,United Kingdom,OIS. 
3747969238,"Borodin*, Vaughan Williams*, Tchaikovsky*, The Strings Of The Philadelphia Orchestra, Eugene Ormandy",Nocturne / Fantasia On 'Greensleeves' / Waltz From Serenade For Strings,Philips,ABE 10039,1957,"7""",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 0.95,For Sale,United Kingdom,
3747969175,Al Martino,Darling I Love You,Ember Records,EMB S147,1961,"7"", Single",,Very Good Plus (VG+),Generic,GBP 1.25,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - BIRTH/COMPANY SLEEVE
3747969244,The Alexander Brothers,Two Highland Lads,Marble Arch,MAL 766,1967,"LP, Album, Mono, RE",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,
3747969217,Alan Price,The World Of Alan Price,"Decca, Decca","SPA 77, SPA.77",1970,"LP, Comp",,Near Mint (NM or M-),Very Good (VG),GBP 3.77,For Sale,United Kingdom,SCUFFED FRONT SLEEVE.
3747969274,"Alfred Newman, Debbie Reynolds, Ken Darby","How The West Was Won, Original Soundtrack",MGM Records,MGM C 915,1963,"LP, Mono",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 4.18,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT. VG++ SLEEVE.
3747969247,Alexander O'Neal,Criticize,Tabu Records,651211 7,1987,"7"", Single",,Very Good Plus (VG+),Very Good (VG),GBP 0.75,For Sale,United Kingdom,
3747969256,Alexander O'Neal,The Lovers,Tabu Records,651595 7,1988,"7"", Single",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 0.75,For Sale,United Kingdom,A FEW MARKS BUT NOTHING FEELABLE.
3747969241,The Alexander Brothers,These Are My Mountains,Pye Golden Guinea Records,GGL 0375,1966,LP,,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.6,For Sale,United Kingdom,
3747969199,"Alan Bush, Manoug Parikian  ·  BBC Symphony Orchestra  ·  Norman Del Mar / Medici Quartet*",Violin Concerto / Dialectic / Six Short Pieces,Hyperion,A66138,1985,LP,,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.25,For Sale,United Kingdom,
3747969187,Al Martino,This Is Love,Capitol Records,T-2592,1966,"LP, Album, Mono, Scr",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 2.52,For Sale,United Kingdom,STILL IN OPENED SHRINK - LOOKS UNPLAYED - SUPERB ! NM ORIG INNER. FACTORY SEALED STICKER ON THE SHRINK.  AWESOME COPY !
3747969277,"Alfred Newman, Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings",Camelot (Original Motion Picture Sound Track),Warner Bros. Records,WS 1712,1968,"LP, Album, RE",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,
3747969262,Alfred Drake,Kismet,"Philips, Philips, Philips","BBE 12018, BBE.12018, 429 119 BE",1955,"7"", EP",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.6,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT.
3747969202,Alan Caddy Orchestra & Singers,6 Top Hits,Forest Records (2),FVA 2016,1972,"7"", EP",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.25,For Sale,United Kingdom,
3747969223,Albert Hammond,The Peacemaker,Mums Records,S MUM 1759,1973,"7"", Single, 4-P",,Near Mint (NM or M-),Generic,GBP 1.65,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747969205,Alan Freed & His Rock 'n' Roll Band Featuring The Modernaires,Rock 'N Roll Dance Party Vol.1,Jasmine Records,JASM 1036,0,"LP, Mono, RE",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 3.8,For Sale,United Kingdom,LOOKS UNPLAYED ! VG++ SLEEVE. 
3747969178,Al Martino,Spanish Eyes,Capitol Records,ST 2435,0,"LP, Album, Sle",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 2.52,For Sale,United Kingdom,VG++ VINYL.  LATER PRESSING WITHOUT THE FLIPBACKS.
3747969211,Alan Price,Jarrow Song,Warner Bros. Records,K 16372,1974,"7"", Single",,Near Mint (NM or M-),Generic,GBP 1.6,For Sale,United Kingdom,FROM A FANTASTIC COLLECTION OF UNPLAYED/BARELY PLAYED 60'S &amp; 70'S SINGLES WERE ARE LISTING THIS MONTH (3/25). CLEAN LABELS. EX+ COMPANY/BIRTH SLEEVE. 
3747969253,Alexander O'Neal,If You Were Here Tonight,Tabu Records,A 6391,1985,"7"", Single",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.13,For Sale,United Kingdom,
3747969196,Alan Freeman*,Disco Party,Polycell,PCL 001,0,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.9,For Sale,United Kingdom,
3747969259,Alexander O'Neal Featuring Cherrelle,Never Knew Love Like This,Tabu Records,651382 7,1988,"7"", Single",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.13,For Sale,United Kingdom,SIDE ONE IS NM. SIDE TWO IS VG+.
